File,CODIGO,DISTRITO,DIRECCION,ESTADO,LONGITUD,LATITUD
FuentesBeber.csv,FUE_01_0001,CENTRO,PLAZA COMENDADORAS,FUERA DE SERVICIO,-3.7086003,40.4272429
FuentesBeber.csv,FUE_01_0002,CENTRO,JARDINES CONDE DUQUE,EN SERVICIO,-3.7101008,40.4287238
FuentesBeber.csv,FUE_01_0003,CENTRO,PLAZA DE LAS SALESAS,FUERA DE SERVICIO,-3.6946026,40.4242464
FuentesBeber.csv,FUE_01_0004,CENTRO,PLAZA VILLA DE PARIS,EN SERVICIO,-3.6922023,40.4252981
FuentesBeber.csv,FUE_01_0005,CENTRO,PLAZA VILLA DE PARIS,EN SERVICIO,-3.6931763,40.4255618
FuentesBeber.csv,FUE_01_0006,CENTRO,PLAZA CRISTINO MARTOS,FUERA DE SERVICIO,-3.7120169,40.4256456
FuentesBeber.csv,FUE_01_0007,CENTRO,PLAZA SAN ILDEFONSO,EN SERVICIO,-3.7018126,40.4241421
FuentesBeber.csv,FUE_01_0008,CENTRO,PARQUE CASINO DE LA REINA,FUERA DE SERVICIO,-3.7049195,40.4059482
FuentesBeber.csv,FUE_01_0009,CENTRO,PLAZA DE LOS CARROS,EN SERVICIO,-3.711455,40.4116737
FuentesBeber.csv,FUE_01_0012,CENTRO,PARQUE DE LA CORNISA,FUERA DE SERVICIO,-3.7153448,40.4098378
FuentesBeber.csv,FUE_01_0017,CENTRO,PASEO DEL PRADO,EN SERVICIO,-3.6931979,40.4127243
FuentesBeber.csv,FUE_01_0018,CENTRO,CAPITAN SALAZAR MARTINEZ Nº 11,EN SERVICIO,-3.7102162,40.4071271
FuentesBeber.csv,FUE_01_0020,CENTRO,PLAZA DOS DE MAYO,FUERA DE SERVICIO,-3.7044044,40.4269465
FuentesBeber.csv,FUE_01_0021,CENTRO,PARQUE DE ATENAS,CERRADA TEMPORALMENTE,-3.7205578,40.4150604
FuentesBeber.csv,FUE_01_0024,CENTRO,JARDINES PLAZA GABRIEL MIRO,EN SERVICIO,-3.7148802,40.412665
FuentesBeber.csv,FUE_01_0027,CENTRO,"CALLE SEGOVIA, 30",EN SERVICIO,-3.7189277,40.4147755
FuentesBeber.csv,FUE_01_0028,CENTRO,PARQUE DE ATENAS,FUERA DE SERVICIO,-3.7201468,40.4147606
FuentesBeber.csv,FUE_01_0029,CENTRO,PARQUE CASINO DE LA REINA,FUERA DE SERVICIO,-3.7046006,40.4066592
FuentesBeber.csv,FUE_01_0030,CENTRO,PARQUE CASINO DE LA REINA,EN SERVICIO,-3.7057139,40.4425058
FuentesBeber.csv,FUE_01_0031,CENTRO,CL ARGANZUELA Nº:1,EN SERVICIO,-3.7102571,40.4088482
FuentesBeber.csv,FUE_01_0032,CENTRO,"CL MESON DE PAREDES, Nº 48",EN SERVICIO,-3.7039254,40.4093894
FuentesBeber.csv,FUE_01_0033,CENTRO,CL SAN JUSTO Nº:1,EN SERVICIO,-3.7090393,40.4138188
FuentesBeber.csv,FUE_01_0034,CENTRO,PLAZA JESUS Nº:4,EN SERVICIO,-3.7072101,40.4099264
FuentesBeber.csv,FUE_01_0036,CENTRO,PLAZA CASCORRO Nº:11,EN SERVICIO,-3.6959374,40.4093572
FuentesBeber.csv,FUE_01_0037,CENTRO,PLAZA ISABEL II Nº:8,EN SERVICIO,-3.7091416,40.4181182
FuentesBeber.csv,FUE_01_0038,CENTRO,"PZA. GENERAL VARA DE REY, Nº 3",EN SERVICIO,-3.7083933,40.4092552
FuentesBeber.csv,FUE_01_0039,CENTRO,"PZA. GABRIEL MIRO, Nº 8",EN SERVICIO,-3.7149769,40.4120067
FuentesBeber.csv,FUE_01_0041,CENTRO,"C/ SANTA CRUZ DE MARCENADO, 18",EN SERVICIO,-3.7096543,40.4288758
FuentesBeber.csv,FUE_01_0042,CENTRO,PLAZA SANTA MARÍA SOLEDAD TORRES ACOSTA,FUERA DE SERVICIO,-3.7054888,40.4218322
FuentesBeber.csv,FUE_01_0043,CENTRO,"CALLE DEL ALMENDRO, 3",EN SERVICIO,-3.709017,40.4128691
FuentesBeber.csv,FUE_01_0044,CENTRO,"CIUDAD RODRIGO, JUNTO ACCESO PZA. MAYOR",FUERA DE SERVICIO,-3.7086386,40.4157493
FuentesBeber.csv,FUE_01_0045,CENTRO,JARDINES ARQUITECTO RIBERA,EN SERVICIO,-3.6996383,40.4258724
FuentesBeber.csv,FUE_01_0046,CENTRO,CALLE ARENAL Nº 18,EN SERVICIO,-3.7068608,40.4173694
